,ExperimentName,Parameters,nbCasCovidConnuTotal-repli1,nbCasCovidConnuTotal-repli2,nbCasCovidConnuTotal-repli3,nbCasCovidConnuTotal-Mean,nbCasCovidConnuTotal-Std,nbMortTotal-repli1,nbMortTotal-repli2,nbMortTotal-repli3,nbMortTotal-Mean,nbMortTotal-Std,epidemic_duration-repli1,epidemic_duration-repli2,epidemic_duration-repli3,epidemic_duration-Mean,epidemic_duration-Std,tauxDeMortCasConnu-repli1,tauxDeMortCasConnu-repli2,tauxDeMortCasConnu-repli3,tauxDeMortCasConnu-Mean,tauxDeMortCasConnu-Std,tauxMortalitePopulationGlobale-repli1,tauxMortalitePopulationGlobale-repli2,tauxMortalitePopulationGlobale-repli3,tauxMortalitePopulationGlobale-Mean,tauxMortalitePopulationGlobale-Std,epidemicDuration-repli1,epidemicDuration-repli2,epidemicDuration-repli3,epidemicDuration-Mean,epidemicDuration-Std
0,"[0, 0, 0, 0, 0, 0]-variantVaccin1-variantDpt1","[0, 0, 0, 0, 0, 0]",226.0,284.0,241.0,250.33333333333334,24.580932086115496,4.0,1.0,4.0,3.0,1.4142135623730951,,,,,,1.7699115044247788,0.35211267605633806,1.6597510373443984,1.2605917392751718,0.6439640198836523,0.00018472141470742668,4.618035367685667e-05,0.00018472141470742668,0.00013854106103057,6.530888248499692e-05,28.0,58.0,54.0,46.666666666666664,13.299958228840001
1,"[0, 0, 0, 0, 0, 1]-variantVaccin1-variantDpt2","[0, 0, 0, 0, 0, 1]",1118046.0,1119001.0,1121367.0,1119471.3333333333,1395.9871855508638,18961.0,19220.0,19524.0,19235.0,230.08838881322686,,,,,,1.6959051774256158,1.717603469523262,1.7410892241344715,1.7181992903611165,0.018451120491723195,0.8756256860668794,0.8875863976691852,0.9016252251869497,0.8882791029743381,0.010625563172332906,79.0,72.0,72.0,74.33333333333333,3.2998316455372216
2,"[0, 0, 0, 0, 0, 2]-variantVaccin1-variantDpt3","[0, 0, 0, 0, 0, 2]",1961386.0,1961224.0,1961475.0,1961361.6666666667,103.90487102259557,32433.0,32313.0,32662.0,32469.333333333332,144.77645603557997,,,,,,1.6535755837963562,1.6475935436237779,1.665175441950573,1.6554481897902356,0.007298893847685713,1.4977674108014922,1.4922257683602695,1.5083427117934927,1.4994452969850849,0.006685827943805046,32.0,36.0,33.0,33.666666666666664,1.699673171197595
3,"[0, 0, 0, 0, 0, 3]-variantVaccin1-variantDpt4","[0, 0, 0, 0, 0, 3]",2138226.0,2138002.0,2138004.0,2138077.3333333335,105.12637897100592,17666.0,17412.0,17585.0,17554.333333333332,105.9381370842856,,,,,,0.8261989144271934,0.8144052250652712,0.8224961225516884,0.8210334206813843,0.004924591337523831,0.8158221280553499,0.8040923182214283,0.8120815194075246,0.8106653218947676,0.004892260638419634,17.0,18.0,18.0,17.666666666666668,0.4714045207910317
4,"[0, 0, 0, 0, 0, 4]-variantVaccin1-variantDpt5","[0, 0, 0, 0, 0, 4]",2157550.0,2157391.0,2157444.0,2157461.6666666665,66.1026138330063,15690.0,15930.0,15901.0,15840.333333333334,106.95897448191164,,,,,,0.7272137378044542,0.738391881675598,0.737029559052286,0.734211726177446,0.004979482013482514,0.7245697491898812,0.7356530340723267,0.7343138038156979,0.7315121956926353,0.004939403270488558,13.0,13.0,13.0,13.0,0.0
5,"[0, 0, 0, 0, 1, 0]-variantVaccin2-variantDpt1","[0, 0, 0, 0, 1, 0]",158.0,146.0,145.0,149.66666666666666,5.9066817155564495,0.0,1.0,2.0,1.0,0.816496580927726,,,,,,0.0,0.684931506849315,1.3793103448275863,0.6880806172256339,0.5631054930823178,0.0,4.618035367685667e-05,9.236070735371334e-05,4.618035367685667e-05,3.770610088318661e-05,24.0,15.0,14.0,17.666666666666668,4.4969125210773475
6,"[0, 0, 0, 0, 1, 1]-variantVaccin2-variantDpt2","[0, 0, 0, 0, 1, 1]",801427.0,831107.0,823605.0,818713.0,12600.908644485391,4433.0,4893.0,4583.0,4636.333333333333,191.54343864744854,,,,,,0.5531383394869402,0.5887328587053171,0.5564560681394601,0.5661090887772392,0.016054657790848754,0.2047175078495056,0.22596047054085966,0.21164456090103412,0.21410751309713313,0.008845543741220466,359.0,364.0,363.0,362.0,2.160246899469287
7,"[0, 0, 0, 0, 1, 2]-variantVaccin2-variantDpt3","[0, 0, 0, 0, 1, 2]",1635038.0,1634455.0,1635800.0,1635097.6666666667,550.7124678289227,23046.0,22694.0,23142.0,22960.666666666668,192.5916809095231,,,,,,1.4095085251841242,1.388475057435047,1.4147206259933978,1.4042347362041896,0.011345104814895002,1.0642724308368388,1.0480169463425852,1.068705744789817,1.0603317073230805,0.00889395193962207,50.0,51.0,50.0,50.333333333333336,0.4714045207910317
8,"[0, 0, 0, 0, 1, 3]-variantVaccin2-variantDpt4","[0, 0, 0, 0, 1, 3]",2046146.0,2046111.0,2046201.0,2046152.6666666667,37.04351795148812,11726.0,11838.0,12025.0,11863.0,123.33963947842018,,,,,,0.5730773854847113,0.5785609871605206,0.5876744269013651,0.579770933182199,0.006020320122241988,0.5415108272148212,0.5466830268266293,0.5553187529642014,0.5478375356685506,0.005695868173489442,36.0,26.0,25.0,29.0,4.96655480858378
9,"[0, 0, 0, 0, 1, 4]-variantVaccin2-variantDpt5","[0, 0, 0, 0, 1, 4]",2125663.0,2125894.0,2125894.0,2125817.0,108.89444430272832,11447.0,11352.0,11463.0,11420.666666666666,48.99206284922306,,,,,,0.5385143364681984,0.5339871131862641,0.5392084459526204,0.5372366318690277,0.002315163888556336,0.5286265085389783,0.5242393749396769,0.529365394197808,0.5274104258921545,0.002262470789735941,16.0,19.0,16.0,17.0,1.4142135623730951
